ID	daaset	HPVpos_Clusters
SS_MAASTRO_5546	BD2	Cl2
SS_MAASTRO_5588	BD2	Cl1
SS_MAASTRO_5855	BD2	Cl1
SS_MAASTRO_588	BD2	Cl3
SS_MAASTRO_5978	BD2	Cl2
SS_MAASTRO_6085	BD2	Cl1
SS_MAASTRO_6611	BD2	Cl1
SS_MAASTRO_6617	BD2	Cl3
SS_MAASTRO_6848	BD2	Cl3
SS_MAASTRO_6938	BD2	Cl2
SS_MAASTRO_6952	BD2	Cl3
SS_MAASTRO_7020	BD2	Cl3
SS_MAASTRO_7174	BD2	Cl2
SS_MAASTRO_7205	BD2	Cl1
SS_MAASTRO_8008	BD2	Cl1
SS_MAASTRO_8050	BD2	Cl3
SS_MAASTRO_8243	BD2	Cl1
SS_MAASTRO_8625	BD2	Cl3
SS_MAASTRO_8664	BD2	Cl1
SS_MAASTRO_8869	BD2	Cl1
SS_MAASTRO_8873	BD2	Cl1
SS_MAASTRO_9131	BD2	Cl1
SS_MAASTRO_9171	BD2	Cl3
SS_MAASTRO_9484	BD2	Cl3
SS_MAASTRO_9564	BD2	Cl1
SS_MAASTRO_9580	BD2	Cl3
SS_MAASTRO_9595	BD2	Cl3
SS_MAASTRO_9627	BD2	Cl1
SS_MAASTRO_9835	BD2	Cl2
SS_MAASTRO_9926	BD2	Cl3
SS_SBA_0007	BD2	Cl2
SS_SBA0037	BD2	Cl3
SS_UDUS10	BD2	Cl3
SS_UDUS111	BD2	Cl3
SS_UDUS114	BD2	Cl2
SS_UDUS117	BD2	Cl1
SS_UDUS118	BD2	Cl1
SS_UDUS12	BD2	Cl3
SS_UDUS121	BD2	Cl1
SS_UDUS123	BD2	Cl1
SS_UDUS124	BD2	Cl3
SS_UDUS126	BD2	Cl3
SS_UDUS13	BD2	Cl1
SS_UDUS130	BD2	Cl2
SS_UDUS14	BD2	Cl2
SS_UDUS149	BD2	Cl1
SS_UDUS161	BD2	Cl1
SS_UDUS162	BD2	Cl1
SS_UDUS163	BD2	Cl2
SS_UDUS19	BD2	Cl2
SS_UDUS28	BD2	Cl3
SS_UDUS31	BD2	Cl2
SS_UDUS32	BD2	Cl3
SS_UDUS35	BD2	Cl2
SS_UDUS36	BD2	Cl2
SS_UDUS44	BD2	Cl2
SS_UDUS46	BD2	Cl2
SS_UDUS47	BD2	Cl1
SS_UDUS50	BD2	Cl1
SS_UDUS52	BD2	Cl2
SS_UDUS57	BD2	Cl3
SS_UDUS60	BD2	Cl2
SS_UDUS7	BD2	Cl3
SS_UDUS72	BD2	Cl1
SS_UDUS75	BD2	Cl3
SS_UDUS79	BD2	Cl3
SS_UDUS82	BD2	Cl2
SS_UDUS85	BD2	Cl2
SS_UDUS9	BD2	Cl3
SS_UDUS98	BD2	Cl3
SS_UL0001	BD2	Cl2
SS_UL0002	BD2	Cl1
SS_UL0005	BD2	Cl1
SS_UL0010	BD2	Cl1
SS_UL0011	BD2	Cl3
SS_UL0012	BD2	Cl3
SS_UL0014	BD2	Cl1
SS_UL0017	BD2	Cl1
SS_UL0018	BD2	Cl1
SS_VUMC_OP_	BD2	Cl3
SS_VUMC_OP_1062	BD2	Cl2
SS_VUMC_OP_1122	BD2	Cl1
SS_VUMC_OP_1177	BD2	Cl3
SS_VUMC_OP_159	BD2	Cl1
SS_VUMC_OP_1651	BD2	Cl1
SS_VUMC_OP_1693	BD2	Cl3
SS_VUMC_OP_1817	BD2	Cl3
SS_VUMC_OP_2069	BD2	Cl1
SS_VUMC_OP_2220	BD2	Cl2
SS_VUMC_OP_234	BD2	Cl1
SS_VUMC_OP_264	BD2	Cl3
SS_VUMC_OP_2720	BD2	Cl1
SS_VUMC_OP_2899	BD2	Cl2
SS_VUMC_OP_3100	BD2	Cl1
SS_VUMC_OP_3103	BD2	Cl3
SS_VUMC_OP_3110	BD2	Cl1
SS_VUMC_OP_3134	BD2	Cl1
SS_VUMC_OP_3149	BD2	Cl3
SS_VUMC_OP_3209	BD2	Cl3
SS_VUMC_OP_3221	BD2	Cl1
SS_VUMC_OP_3558	BD2	Cl1
SS_VUMC_OP_3931	BD2	Cl1
SS_VUMC_OP_394	BD2	Cl1
SS_VUMC_OP_4069	BD2	Cl1
SS_VUMC_OP_412	BD2	Cl2
SS_VUMC_OP_4346	BD2	Cl3
SS_VUMC_OP_4535	BD2	Cl3
SS_VUMC_OP_4556	BD2	Cl1
SS_VUMC_OP_4610	BD2	Cl1
SS_VUMC_OP_4615	BD2	Cl2
SS_VUMC_OP_4687	BD2	Cl2
SS_VUMC_OP_4691	BD2	Cl1
SS_VUMC_OP_4935	BD2	Cl3
SS_VUMC_OP_5024	BD2	Cl3
SS_VUMC_OP_5037	BD2	Cl1
SS_VUMC_OP_518	BD2	Cl2
SS_VUMC_OP_5345	BD2	Cl3
SS_VUMC_OP_5712	BD2	Cl1
SS_VUMC_OP_592	BD2	Cl2
SS_VUMC_OP_604	BD2	Cl2
SS_VUMC_OP_6111	BD2	Cl1
SS_VUMC_OP_6145	BD2	Cl2
SS_VUMC_OP_6186	BD2	Cl3
SS_VUMC_OP_6197	BD2	Cl1
SS_VUMC_OP_6266	BD2	Cl1
SS_VUMC_OP_6273	BD2	Cl1
SS_VUMC_OP_6371	BD2	Cl1
SS_VUMC_OP_6390	BD2	Cl2
SS_VUMC_OP_6402	BD2	Cl2
SS_VUMC_OP_6471	BD2	Cl1
SS_VUMC_OP_6689	BD2	Cl1
SS_VUMC_OP_6735	BD2	Cl1
SS_VUMC_OP_6756	BD2	Cl1
SS_VUMC_OP_6895	BD2	Cl1
SS_VUMC_OP_6933	BD2	Cl3
SS_VUMC_OP_702	BD2	Cl1
SS_VUMC_OP_707	BD2	Cl3
